epoch,accuracy,precision_avg,recall_avg,f1_avg,precision_HC,recall_HC,f1_HC,precision_PD,recall_PD,f1_PD,precision_DD,recall_DD,f1_DD
1,0.4775510204081633,0.3430088720480453,0.4775510204081633,0.3834917614927598,0.056818181818181816,0.004006410256410256,0.0074850299401197605,0.5193956717027358,0.9137931034482759,0.6623275188752928,0.4302241503976862,0.46484375,0.44686443860307923
2,0.5563775510204082,0.6323849380102059,0.5563775510204082,0.5146651473152565,0.4414542020774315,0.749198717948718,0.5555555555555556,0.6785482825664291,0.7521551724137931,0.713458262350937,0.7683397683397684,0.15546875,0.2586094866796621
3,0.675765306122449,0.6751661485966374,0.675765306122449,0.6630161825978879,0.6706586826347305,0.5384615384615384,0.5973333333333334,0.6781429316640585,0.9339080459770115,0.7857358718646117,0.6763236763236763,0.52890625,0.5935992985532661
4,0.6951530612244898,0.7655894854005547,0.6951530612244898,0.6649982194017631,0.9975845410628019,0.33092948717948717,0.4969915764139591,0.672463768115942,1.0,0.804159445407279,0.6406685236768802,0.71875,0.6774668630338734
5,0.7566326530612245,0.7574586332695169,0.7566326530612245,0.7463584737049892,0.7863247863247863,0.5897435897435898,0.673992673992674,0.7616438356164383,0.9985632183908046,0.8641591544917625,0.724762726488352,0.65625,0.6888068880688807
6,0.8119897959183674,0.8288018062477449,0.8119897959183674,0.80639296063591,0.9413833528722158,0.6434294871794872,0.7643979057591623,0.7746243739565943,1.0,0.8730009407337723,0.7779527559055118,0.771875,0.7749019607843137
7,0.8073979591836735,0.8395352094689614,0.8073979591836735,0.800188668079617,0.998641304347826,0.5889423076923077,0.7409274193548387,0.7495961227786753,1.0,0.8568790397045245,0.7822155237377544,0.8109375,0.7963176064441887
8,0.7908163265306123,0.8003591427533288,0.7908163265306123,0.7836616797908377,0.868421052631579,0.6346153846153846,0.7333333333333333,0.7614879649890591,1.0,0.8645962732919255,0.7762711864406779,0.715625,0.7447154471544716
9,0.8211734693877552,0.8473510325277678,0.8211734693877552,0.8161568905894214,0.9925,0.6362179487179487,0.775390625,0.7623220153340635,1.0,0.8651336233685519,0.7982998454404946,0.80703125,0.8026418026418026
10,0.8137755102040817,0.8329692509819133,0.8137755102040817,0.8081917598140358,0.9567307692307693,0.6378205128205128,0.7653846153846153,0.7759197324414716,1.0,0.8738229755178908,0.7743431221020093,0.7828125,0.7785547785547785
11,0.823469387755102,0.8327431036511299,0.823469387755102,0.8186926890726491,0.8547237076648841,0.7684294871794872,0.809282700421941,0.7763524818739542,1.0,0.8740973312401884,0.872636815920398,0.68515625,0.7676148796498906
12,0.7607142857142857,0.7643770614964158,0.7607142857142857,0.7548229350839438,0.8006535947712419,0.5889423076923077,0.6786703601108033,0.7615062761506276,0.9152298850574713,0.831321370309951,0.7321294206170053,0.76015625,0.745879647374473
13,0.8005102040816326,0.81034549095601,0.8005102040816326,0.7947436740531297,0.8797145769622834,0.6915064102564102,0.7743382682817407,0.759825327510917,1.0,0.8635235732009926,0.7976513098464318,0.68984375,0.7398408043569333
14,0.8107142857142857,0.8150298928869335,0.8107142857142857,0.808243070420044,0.849112426035503,0.6899038461538461,0.7612732095490716,0.7791336180597925,0.9173850574712644,0.8426261959749257,0.8208366219415943,0.8125,0.8166470357283078
15,0.7933673469387755,0.8027030012203623,0.7933673469387755,0.7894795383343349,0.8725274725274725,0.6362179487179487,0.7358665430954587,0.7613365155131265,0.9166666666666666,0.8318122555410691,0.7796101949025487,0.8125,0.7957153787299158
16,0.8369897959183673,0.8549260578496036,0.8369897959183673,0.8330268062281919,0.9730994152046784,0.6666666666666666,0.7912505943889682,0.791907514450867,0.9841954022988506,0.877642536835362,0.8082397003745319,0.84296875,0.8252390057361376
17,0.8030612244897959,0.8076898213204811,0.8030612244897959,0.7997577217281502,0.8474923234390993,0.6634615384615384,0.7442696629213483,0.7787934186471663,0.9181034482758621,0.8427299703264095,0.8003072196620584,0.8140625,0.8071262587141751
18,0.6607142857142857,0.6546788575489473,0.6607142857142857,0.6556583691611091,0.608214849921011,0.6169871794871795,0.6125696101829753,0.7435897435897436,0.8333333333333334,0.7859078590785907,0.603290676416819,0.515625,0.5560235888795282
19,0.8426020408163265,0.8640412223210525,0.8426020408163265,0.838499502599569,0.9987995198079231,0.6666666666666666,0.7996155694377703,0.7944031981724728,0.9992816091954023,0.885141584473433,0.8083832335329342,0.84375,0.8256880733944955
20,0.8415816326530612,0.8632196939513396,0.8415816326530612,0.8374728284960402,0.9987980769230769,0.6658653846153846,0.7990384615384616,0.7930444697833523,0.9992816091954023,0.8842975206611571,0.8073463268365817,0.84140625,0.8240244835501148
21,0.8323979591836734,0.8484945587191268,0.8323979591836734,0.8276646505905062,0.9582850521436849,0.6626602564102564,0.7835149218379914,0.7939497716894978,0.9992816091954023,0.8848600508905853,0.8007662835249042,0.81640625,0.8085106382978723
22,0.8206632653061224,0.83418678452552,0.8206632653061224,0.8150378222674629,0.9317919075144508,0.6458333333333334,0.7628963558920966,0.7941680960548885,0.9978448275862069,0.8844317096466093,0.7825421133231241,0.7984375,0.7904098994586234
23,0.789030612244898,0.8281092131833243,0.789030612244898,0.786263305288963,0.9526558891454965,0.6610576923076923,0.7805108798486282,0.6805691854759568,0.9964080459770115,0.8087463556851312,0.8671259842519685,0.68828125,0.7674216027874564
24,0.825,0.8436356316085472,0.825,0.820662829730545,0.9651972157772621,0.6666666666666666,0.7886255924170616,0.7766610831937465,0.9992816091954023,0.8740182218033302,0.797947908445146,0.78984375,0.7938751472320377
25,0.7951530612244898,0.7997317924611289,0.7951530612244898,0.7910477520161252,0.8401682439537329,0.6402243589743589,0.726693951796271,0.7791336180597925,0.9173850574712644,0.8426261959749257,0.7827067669172932,0.81328125,0.7977011494252874
26,0.8505102040816327,0.8703252939385776,0.8505102040816327,0.8473421689340428,0.9988425925925926,0.6915064102564102,0.8172348484848485,0.7944031981724728,0.9992816091954023,0.885141584473433,0.8275862068965517,0.84375,0.8355899419729207
27,0.8497448979591836,0.869502220026874,0.8497448979591836,0.8465408366494998,0.9976851851851852,0.6907051282051282,0.8162878787878788,0.7939497716894978,0.9992816091954023,0.8848600508905853,0.8266871165644172,0.8421875,0.8343653250773994
28,0.8099489795918368,0.8441250347406223,0.8099489795918368,0.8080291803428373,0.988558352402746,0.6923076923076923,0.8143261074458058,0.7075279755849441,0.9992816091954023,0.8284693269803455,0.8518518518518519,0.71875,0.7796610169491526
29,0.8114795918367347,0.8563985960634345,0.8114795918367347,0.8115014946219103,0.9977064220183486,0.6971153846153846,0.8207547169811321,0.6845472440944882,0.9992816091954023,0.8125,0.905511811023622,0.71875,0.8013937282229965
30,0.8464285714285714,0.8670418201350889,0.8464285714285714,0.8427683439788127,0.9988207547169812,0.6786858974358975,0.808206106870229,0.7945205479452054,1.0,0.8854961832061069,0.8174242424242424,0.84296875,0.83
31,0.8423469387755103,0.8573906706228936,0.8423469387755103,0.8387051679229609,0.9621380846325167,0.6923076923076923,0.8052190121155638,0.7944031981724728,0.9992816091954023,0.885141584473433,0.8237608182533438,0.81796875,0.8208545668365347
32,0.8206632653061224,0.8249922746258254,0.8206632653061224,0.8191024794555205,0.8364950316169828,0.7419871794871795,0.786411889596603,0.7819503331314355,0.9274425287356322,0.8485047650345054,0.8605851979345955,0.78125,0.819000819000819
33,0.8487244897959184,0.8672726287177053,0.8487244897959184,0.8454634779209194,0.9896907216494846,0.6923076923076923,0.8147100424328148,0.7944031981724728,0.9992816091954023,0.885141584473433,0.8271604938271605,0.8375,0.8322981366459627
34,0.8502551020408163,0.8702090180507099,0.8502551020408163,0.8470482435701907,0.9988412514484357,0.6907051282051282,0.8166745618190431,0.7936145952109465,1.0,0.8849332485696122,0.8280890253261703,0.84296875,0.8354626403406891
35,0.8415816326530612,0.8562346059970729,0.8415816326530612,0.8378939676176748,0.9589345172031076,0.6923076923076923,0.8040949278734295,0.7944031981724728,0.9992816091954023,0.885141584473433,0.8233438485804416,0.815625,0.8194662480376766
36,0.8502551020408163,0.8699129228565224,0.8502551020408163,0.8470505558633985,0.9976878612716763,0.6915064102564102,0.8168480832938949,0.7945205479452054,1.0,0.8854961832061069,0.827321565617805,0.8421875,0.8346883468834688
37,0.8507653061224489,0.8707354458079879,0.8507653061224489,0.8475913377342603,1.0,0.6915064102564102,0.817621980104216,0.7945205479452054,1.0,0.8854961832061069,0.8275862068965517,0.84375,0.8355899419729207
38,0.849234693877551,0.8680902531614487,0.849234693877551,0.8461107985999368,0.9919632606199771,0.6923076923076923,0.8154789995280792,0.7938144329896907,0.9956896551724138,0.8833652007648184,0.8280890253261703,0.84296875,0.8354626403406891
39,0.8507653061224489,0.8707354458079879,0.8507653061224489,0.8475913377342603,1.0,0.6915064102564102,0.817621980104216,0.7945205479452054,1.0,0.8854961832061069,0.8275862068965517,0.84375,0.8355899419729207
40,0.8426020408163265,0.8577738282208535,0.8426020408163265,0.8389505996825213,0.9632107023411371,0.6923076923076923,0.8055944055944056,0.7945205479452054,1.0,0.8854961832061069,0.8237608182533438,0.81796875,0.8208545668365347
41,0.8428571428571429,0.85816131865736,0.8428571428571429,0.8392210968748055,0.9642857142857143,0.6923076923076923,0.8059701492537313,0.7945205479452054,1.0,0.8854961832061069,0.8238993710691824,0.81875,0.8213166144200627
42,0.8423469387755103,0.8577135453043131,0.8423469387755103,0.8386561456981177,0.9642058165548099,0.6907051282051282,0.8048552754435108,0.7945205479452054,1.0,0.8854961832061069,0.8226059654631083,0.81875,0.8206734534064213
43,0.8232142857142857,0.8304710222171755,0.8232142857142857,0.8207615324206662,0.8879753340184995,0.6923076923076923,0.7780279153534444,0.7820823244552058,0.9281609195402298,0.8488830486202366,0.827027027027027,0.83671875,0.8318446601941748
44,0.8181122448979592,0.8252977395440164,0.8181122448979592,0.8153549251266022,0.8832116788321168,0.6786858974358975,0.767557770729497,0.7804878048780488,0.9195402298850575,0.8443271767810027,0.817562452687358,0.84375,0.8304498269896193
45,0.8510204081632653,0.8709426791138339,0.8510204081632653,0.8478751623371144,1.0,0.6923076923076923,0.8181818181818182,0.7945205479452054,1.0,0.8854961832061069,0.8282208588957055,0.84375,0.8359133126934984
46,0.8507653061224489,0.8705315766813138,0.8507653061224489,0.8476047279294395,0.9988439306358381,0.6923076923076923,0.8177946048272599,0.7945205479452054,1.0,0.8854961832061069,0.8280890253261703,0.84296875,0.8354626403406891
47,0.8747448979591836,0.889114759909,0.8747448979591836,0.8739775664528657,0.9723593287265548,0.7892628205128205,0.871295886775763,0.7945205479452054,1.0,0.8854961832061069,0.9108225108225109,0.821875,0.8640657084188912
48,0.8676020408163265,0.88002959428035,0.8676020408163265,0.8662678387896836,0.9453499520613614,0.7900641025641025,0.8607594936708861,0.7945205479452054,1.0,0.8854961832061069,0.9093333333333333,0.79921875,0.8507276507276508
49,0.8528061224489796,0.8708877136985516,0.8528061224489796,0.8499538945942843,0.9909808342728298,0.7043269230769231,0.8234192037470726,0.7945205479452054,1.0,0.8854961832061069,0.8368462138953943,0.8375,0.837172979304959
50,0.8545918367346939,0.8729452999267089,0.8545918367346939,0.8518956407505106,0.9943693693693694,0.7075320512820513,0.8267790262172284,0.7945205479452054,1.0,0.8854961832061069,0.83984375,0.83984375,0.83984375
51,0.8711734693877551,0.8852062409955315,0.8711734693877551,0.8701278721421005,0.9691542288557214,0.780448717948718,0.8646249445184199,0.7945205479452054,1.0,0.8854961832061069,0.9019776440240757,0.81953125,0.8587801882930822
52,0.8798469387755102,0.8943824559190567,0.8798469387755102,0.8792864489569563,0.936550491510277,0.8397435897435898,0.8855090832277144,0.7945205479452054,1.0,0.8854961832061069,0.9618684461391802,0.78828125,0.8664662945470158
53,0.8589285714285714,0.8735541403629423,0.8589285714285714,0.8562710039343812,0.8695293146160198,0.84375,0.8564457096380642,0.7945205479452054,1.0,0.8854961832061069,0.9634273772204807,0.7203125,0.8243182834152883
54,0.8487244897959184,0.8585022684739135,0.8487244897959184,0.8459400822539448,0.9195289499509323,0.750801282051282,0.8266431407146008,0.7945205479452054,1.0,0.8854961832061069,0.8685813751087903,0.7796875,0.8217373404693289
55,0.8397959183673469,0.8565778413343169,0.8397959183673469,0.8348603949008505,0.8183229813664596,0.844551282051282,0.831230283911672,0.7945205479452054,1.0,0.8854961832061069,0.9613636363636363,0.6609375,0.7833333333333333
56,0.8607142857142858,0.8751352823401469,0.8607142857142858,0.8582602890807647,0.8752079866888519,0.842948717948718,0.8587755102040816,0.7945205479452054,1.0,0.8854961832061069,0.9627329192546584,0.7265625,0.8281389136242209
57,0.8505102040816327,0.8653451400813083,0.8505102040816327,0.8469646193373555,0.8481421647819063,0.8413461538461539,0.8447304907481898,0.7945205479452054,1.0,0.8854961832061069,0.9591397849462365,0.696875,0.8072398190045249
58,0.8714285714285714,0.884322790542863,0.8714285714285714,0.8702690651077514,0.927536231884058,0.8205128205128205,0.8707482993197279,0.7945205479452054,1.0,0.8854961832061069,0.9398496240601504,0.78125,0.8532423208191127
59,0.8732142857142857,0.8866761982451368,0.8732142857142857,0.8721372473941472,0.9241748438893844,0.8301282051282052,0.8746306458421275,0.7945205479452054,1.0,0.8854961832061069,0.9503342884431709,0.77734375,0.8551783412118608
60,0.8482142857142857,0.8637267700772483,0.8482142857142857,0.8443464548770322,0.8403830806065443,0.84375,0.8420631747301079,0.7945205479452054,1.0,0.8854961832061069,0.9617486338797814,0.6875,0.8018223234624146
61,0.8489795918367347,0.8704026527360487,0.8489795918367347,0.8445257250117799,0.8257229832572298,0.8693910256410257,0.8469945355191257,0.7945205479452054,1.0,0.8854961832061069,0.9964871194379391,0.66484375,0.7975632614807873
62,0.8673469387755102,0.8814352037182729,0.8673469387755102,0.8655932236460376,0.8959044368600683,0.8413461538461539,0.8677685950413223,0.7945205479452054,1.0,0.8854961832061069,0.9618473895582329,0.7484375,0.8418277680140598
63,0.8540816326530613,0.8643356987172852,0.8540816326530613,0.8517098204301498,0.9219653179190751,0.7668269230769231,0.8372703412073491,0.7945205479452054,1.0,0.8854961832061069,0.8840707964601769,0.78046875,0.829045643153527
64,0.872704081632653,0.8864611562508504,0.872704081632653,0.871528049023628,0.9173262972735268,0.8357371794871795,0.8746331236897275,0.7945205479452054,1.0,0.8854961832061069,0.95635305528613,0.7703125,0.8533102553007356
65,0.8461734693877551,0.8632882578121771,0.8461734693877551,0.8418970795925422,0.8308535630383712,0.8501602564102564,0.8403960396039604,0.7945205479452054,1.0,0.8854961832061069,0.9696969696969697,0.675,0.7959465684016582
66,0.8762755102040817,0.8907545576562761,0.8762755102040817,0.8753590680009009,0.9219982471516214,0.842948717948718,0.8807032231059021,0.7945205479452054,1.0,0.8854961832061069,0.9649464459591042,0.77421875,0.859124403987863
67,0.8688775510204082,0.8832336631406946,0.8688775510204082,0.8672433654381465,0.8984641638225256,0.84375,0.8702479338842976,0.7945205479452054,1.0,0.8854961832061069,0.964859437751004,0.75078125,0.844463971880492
68,0.8704081632653061,0.8844579993813251,0.8704081632653061,0.8689629603766238,0.9058721934369602,0.8405448717948718,0.8719866999168745,0.7945205479452054,1.0,0.8854961832061069,0.9613861386138614,0.75859375,0.8480349344978166
69,0.8734693877551021,0.8869543756015426,0.8734693877551021,0.8724154130055263,0.925,0.8301282051282052,0.875,0.7945205479452054,1.0,0.8854961832061069,0.950381679389313,0.778125,0.8556701030927835
70,0.8775510204081632,0.8923095338413135,0.8775510204081632,0.8766953006309004,0.9215344376634699,0.8469551282051282,0.8826722338204593,0.7949743003997716,1.0,0.8857779191854915,0.9696673189823874,0.77421875,0.8609904430929627
71,0.8755102040816326,0.8898893300373575,0.8755102040816326,0.8745305856493063,0.9203152364273205,0.8421474358974359,0.8794979079497908,0.7945205479452054,1.0,0.8854961832061069,0.9639376218323586,0.77265625,0.8577623590633131
72,0.8739795918367347,0.8877334479882811,0.8739795918367347,0.8729685034827107,0.92520035618878,0.8325320512820513,0.8764234500210881,0.7940673131774102,1.0,0.8852146263910969,0.9530651340996169,0.77734375,0.8562822719449226
73,0.874234693877551,0.8876525841589474,0.874234693877551,0.873238356099336,0.9274193548387096,0.8293269230769231,0.8756345177664975,0.7949743003997716,1.0,0.8857779191854915,0.949667616334283,0.78125,0.8572653236176596
74,0.8752551020408164,0.8891869516627559,0.8752551020408164,0.8742814721312298,0.9231448763250883,0.8373397435897436,0.8781512605042017,0.7949743003997716,1.0,0.8857779191854915,0.9585342333654774,0.7765625,0.8580060422960725
75,0.8747448979591836,0.8885411605424262,0.8747448979591836,0.873739459339476,0.9230088495575222,0.8357371794871795,0.8772077375946173,0.7949743003997716,1.0,0.8857779191854915,0.9566891241578441,0.7765625,0.8572660629581716
76,0.8755102040816326,0.8895634287360608,0.8755102040816326,0.8745449084852953,0.9224669603524229,0.8389423076923077,0.8787242971044902,0.7949743003997716,1.0,0.8857779191854915,0.960348162475822,0.77578125,0.8582541054451167
77,0.875,0.8888150387197985,0.875,0.8740177847569571,0.9238263950398583,0.8357371794871795,0.877576777450568,0.7949743003997716,1.0,0.8857779191854915,0.9567307692307693,0.77734375,0.8577586206896551
78,0.8760204081632653,0.8901068412111665,0.8760204081632653,0.8751018470797848,0.9240953221535746,0.8389423076923077,0.879462410751785,0.7949743003997716,1.0,0.8857779191854915,0.9604247104247104,0.77734375,0.8592400690846287
79,0.8755102040816326,0.8893641024682679,0.8755102040816326,0.8745743168145927,0.9254658385093167,0.8357371794871795,0.8783157894736842,0.7949743003997716,1.0,0.8857779191854915,0.9568138195777351,0.77890625,0.8587424633936261
80,0.875765306122449,0.8897830749524819,0.875765306122449,0.8748308640934527,0.9240282685512368,0.8381410256410257,0.8789915966386554,0.7949743003997716,1.0,0.8857779191854915,0.9594985535197685,0.77734375,0.8588692274492878
81,0.8755102040816326,0.8894598536384661,0.8755102040816326,0.874559859573632,0.9239610963748894,0.8373397435897436,0.8785203867171081,0.7949743003997716,1.0,0.8857779191854915,0.9585741811175337,0.77734375,0.8584987057808455
82,0.8752551020408164,0.8891869516627559,0.8752551020408164,0.8742814721312298,0.9231448763250883,0.8373397435897436,0.8781512605042017,0.7949743003997716,1.0,0.8857779191854915,0.9585342333654774,0.7765625,0.8580060422960725
83,0.8737244897959183,0.8869911948872928,0.8737244897959183,0.8727017734586755,0.9280575539568345,0.8269230769230769,0.8745762711864407,0.7949743003997716,1.0,0.8857779191854915,0.9470198675496688,0.78203125,0.8566538296961917
84,0.875765306122449,0.8896852629529615,0.875765306122449,0.8748454270896056,0.925531914893617,0.8365384615384616,0.8787878787878788,0.7949743003997716,1.0,0.8857779191854915,0.9577329490874159,0.77890625,0.8591124515295131
85,0.8752551020408164,0.8892923707331628,0.8752551020408164,0.8742663782577591,0.9216549295774648,0.8389423076923077,0.8783557046979866,0.7949743003997716,1.0,0.8857779191854915,0.9603097773475314,0.775,0.8577604842196281
86,0.8752551020408164,0.8889575820363981,0.8752551020408164,0.8743170395875827,0.9269162210338681,0.8333333333333334,0.8776371308016878,0.7949743003997716,1.0,0.8857779191854915,0.9541547277936963,0.78046875,0.8586162440911044
87,0.8755102040816326,0.889276160286593,0.8755102040816326,0.8745882805210884,0.9269813000890472,0.8341346153846154,0.8781105018979334,0.7949743003997716,1.0,0.8857779191854915,0.9550669216061185,0.78046875,0.8589853826311264
88,0.8752551020408164,0.8889575820363981,0.8752551020408164,0.8743170395875827,0.9269162210338681,0.8333333333333334,0.8776371308016878,0.7949743003997716,1.0,0.8857779191854915,0.9541547277936963,0.78046875,0.8586162440911044
89,0.875,0.8886395352545067,0.875,0.8740457749748523,0.9268510258697591,0.8325320512820513,0.877163360067539,0.7949743003997716,1.0,0.8857779191854915,0.9532442748091603,0.78046875,0.8582474226804123
90,0.8752551020408164,0.8889575820363981,0.8752551020408164,0.8743170395875827,0.9269162210338681,0.8333333333333334,0.8776371308016878,0.7949743003997716,1.0,0.8857779191854915,0.9541547277936963,0.78046875,0.8586162440911044
91,0.8755102040816326,0.8893641024682679,0.8755102040816326,0.8745743168145927,0.9254658385093167,0.8357371794871795,0.8783157894736842,0.7949743003997716,1.0,0.8857779191854915,0.9568138195777351,0.77890625,0.8587424633936261
92,0.8755102040816326,0.889276160286593,0.8755102040816326,0.8745882805210884,0.9269813000890472,0.8341346153846154,0.8781105018979334,0.7949743003997716,1.0,0.8857779191854915,0.9550669216061185,0.78046875,0.8589853826311264
93,0.875765306122449,0.8895952717356201,0.875765306122449,0.8748594980699026,0.9270462633451957,0.8349358974358975,0.8785834738617201,0.7949743003997716,1.0,0.8857779191854915,0.9559808612440192,0.78046875,0.8593548387096774
94,0.875765306122449,0.8895532045000228,0.875765306122449,0.8748663491483787,0.9278074866310161,0.8341346153846154,0.8784810126582279,0.7949743003997716,1.0,0.8857779191854915,0.9551098376313276,0.78125,0.8594757198109153
95,0.875765306122449,0.8895532045000228,0.875765306122449,0.8748663491483787,0.9278074866310161,0.8341346153846154,0.8784810126582279,0.7949743003997716,1.0,0.8857779191854915,0.9551098376313276,0.78125,0.8594757198109153
96,0.8755102040816326,0.889276160286593,0.8755102040816326,0.8745882805210884,0.9269813000890472,0.8341346153846154,0.8781105018979334,0.7949743003997716,1.0,0.8857779191854915,0.9550669216061185,0.78046875,0.8589853826311264
97,0.875765306122449,0.8895532045000228,0.875765306122449,0.8748663491483787,0.9278074866310161,0.8341346153846154,0.8784810126582279,0.7949743003997716,1.0,0.8857779191854915,0.9551098376313276,0.78125,0.8594757198109153
98,0.8752551020408164,0.8889995572796321,0.8752551020408164,0.8743101736238101,0.9261565836298933,0.8341346153846154,0.8777403035413154,0.7949743003997716,1.0,0.8857779191854915,0.9550239234449761,0.7796875,0.858494623655914
99,0.8752551020408164,0.8889995572796321,0.8752551020408164,0.8743101736238101,0.9261565836298933,0.8341346153846154,0.8777403035413154,0.7949743003997716,1.0,0.8857779191854915,0.9550239234449761,0.7796875,0.858494623655914
100,0.8752551020408164,0.8889175527667281,0.8752551020408164,0.8743237818610975,0.9276785714285715,0.8325320512820513,0.8775337837837838,0.7949743003997716,1.0,0.8857779191854915,0.9532888465204957,0.78125,0.8587376556462001
